<data for 2018>

499,2,348,10.04,12.09,7.92,293.1,5.835,-.117,-1.103,1,2,17.1,697.87
499,2,418,10.33,12.93,7.51,291.3,9.68,-1.989,-1.319,1,2,17.1,768.47
499,2,448,7.89,11.26,5.421,298.5,19.53,-1.93,-1.645,1,2,17.12,809.09
499,2,518,5.846,7.51,3.753,296.6,12.12,-.185,-.471,1,2,17.16,865.33
499,2,548,7.38,8.76,5.838,282.6,7.51,-1.288,.139,1,2,17.23,881.16
499,2,618,4.062,5.838,2.085,33.62,38.44,-.653,1.591,1,2,17.32,725.3
499,2,648,7.23,8.76,5.838,179.2,7.36,-2.909,-.344,1,2,17.42,875.53
499,2,718,7.08,8.76,5.004,217.2,5.151,-2.795,-1.065,1,2,17.51,979.88
499,2,748,8.96,11.26,7.09,200,4.163,-2.839,-1.96,1,2,17.58,997.27
499,2,818,9.17,12.09,6.255,189.8,8.77,-3.036,-1.755,1,2,17.6,1061.9
499,2,848,9.78,13.34,4.17,189,9.94,-3.15,-1.869,1,2,17.62,1091.9
499,2,918,15.86,19.6,11.68,206.1,4.819,-2.688,-2.525,1,2,17.67,1193.6
499,2,948,17.93,20.02,15.43,195.4,6.528,-2.614,-2.166,1,2,17.65,1221.2
499,2,1018,15.84,19.6,12.09,166.9,25.9,-3.305,-2.612,1,2,17.58,1275
499,2,1048,20.33,27.11,15.01,189.3,3.096,-4.65,-2.973,1,2,17.51,1317.7
499,2,1118,25.5,27.52,22.1,218.7,.861,-4.771,-5.027,1,2,17.49,1425.3
499,2,1148,24.7,30.02,21.27,260.5,.299,-4.832,-4.568,1,2,17.49,1497.9
499,2,1218,22.64,26.27,18.77,260.3,.299,-4.69,-6.163,1,2,17.51,1558
499,2,1248,20.85,24.19,17.1,262.7,.262,-4.664,-4.177,1,2,17.51,1586.7
499,2,1318,21.11,23.77,16.26,275.4,2.661,-4.584,-4.057,1,2,17.53,1671.1
499,2,1348,16.77,18.35,14.6,281.9,1.536,-4.465,-3.915,1,2,17.58,1695.4
499,2,1418,17.43,20.43,14.18,308.5,2.416,-4.406,-3.715,1,2,17.6,1795.4
499,2,1448,10.73,15.01,8.34,323.9,1.675,-4.364,-4.121,1,2,17.62,1821.8
499,2,1518,13,14.6,11.26,339.8,1.738,-4.528,-3.673,1,2,17.6,1912.8
499,2,1548,16.18,20.43,12.09,5.465,13.28,-3.469,-2.799,1,2,17.6,1631.8
499,2,1618,18.87,22.52,15.43,21.5,4.835,-2.592,-2.651,1,2,17.51,1718.4
499,2,1648,17.46,22.1,11.68,24.31,15.96,-2.349,-2.084,1,2,17.44,1757.5
499,2,1718,13.66,19.6,10.01,23.21,11.2,-3.036,-1.636,1,2,17.32,1813.3
499,2,1748,17.79,20.43,14.6,21.72,7.12,-2.522,-1.102,1,2,17.26,1848.3
499,2,1818,14.8,17.93,10.84,20.22,4.977,-2.558,-2.111,1,2,17.19,1904.3
